wav_fn	orig_transcript	new_transcript	orig_masked_span	new_masked_span	type
YOU1000000102_S0000137.wav	if i had never dropped out. i would have never dropped in on that calligraphy class and personal computers might not have the wonderful typography that they do.	if i had never dropped out. i would have never stopped by that calligraphy class and personal computers might not have the wonderful typography that they do.	10,12	10,11	substitution
YOU1000000124_S0000174.wav	so people in symbolic era. i mean we all agree that symbols come in and symbols come out, okay.	so people in symbolic era. i mean we all agree that signals go in and symbols come out, okay.	11,12	11,12	substitution
YOU1000000006_S0000016.wav	and then we can actually go through and generate a lead. so we've got this first call to action here and this is sending them to a landing page.	and then we can actually go through and generate a lead. so we've got this first action here and this is sending them to a landing page.	16,17	15,16	deletion
YOU1000000149_S0000172.wav	the dry shampoo honestly like weirdly styles it enough to where i'm like satisfied with it but i do like to add a little bit of hair spray.	the dry shampoo honestly like weirdly styles it enough to where i'm like satisfied with it but sometimes it needs a little extra i do like to add a little bit of hair spray.	16,17	17,22	insertion
YOU1000000102_S0000031.wav	steve also cofounded pixar animation studios. which has revolutionized the film industry in it short history with brilliant use of technology.	steve also cofounded pixar animation studios. which has revolutionized the film industry in it short history with films like toy story that showcase brilliant use of technology.	16,17	17,22	insertion
YOU1000000148_S0000041.wav	so i was actually happy to wear such a heavy dress and to be able to wear proper wool, you know mountain underwear ha ha ha.	so i was actually happy to wear such a rugged coat and boots and to be able to wear proper wool, you know mountain underwear ha ha ha.	9,10	9,12	substitution
YOU1000000153_S0000000.wav	some times i really feel that the world around us continues to be more hectic and more complicated and so many of us are truly craving to find simplicity.	some times i really feel that the world around us continues to be more hectic, more impersonal, and more uncaring and so many of us are truly craving to find simplicity.	14,17	14,19	substitution
YOU1000000163_S0000051.wav	and finally, pressing on the crown opens up the app menu so this is where you can access your third party apps and system settings.	and finally, pressing on the crown opens up the app menu where you can access your third party apps and system settings.	11,13	10,11	deletion
YOU1000000115_S0000057.wav	in the future when the borrower repays the loan plus interest, the asset and the liability disappear and the transaction is settled.	in the future when the borrower repays the lender the loan plus interest, the asset and the liability disappear and the transaction is settled.	7,8	8,9	insertion
YOU1000000103_S0000113.wav	with an election firmly behind us, voters are taking a new measure of joe biden and what they believe he should deliver as president.	with an election firmly behind us, voters are taking a new measure of joe biden and the rest of his administration and reconsidering what they believe he should deliver as president.	15,16	16,22	insertion
YOU1000000019_S0000015.wav	causing a lock up. although this mostly happens when i'm spamming tps in the last layer. so i've had to learn to control my speed to help with overshooting.	causing a lock up. although this mostly happens when i'm tapping the pedal faster than i should be so i've had to learn to control my speed to help with overshooting.	10,15	10,17	substitution
YOU1000000045_S0000205.wav	and said, you know, we need to start a process ah in order to figure out how we can protect the kurds who have been our allies.	and said, you know, we need to start a process ah in order to figure out how we can provide aid to all the groups that have helped us including the kurds who have been our allies.	19	19,29	substitution
YOU1000000155_S0000027.wav	in a case like this, i probably wouldn't spend any more time looking at the deal if i was only interested in the cash flow.	in a case like this, i probably wouldn't spend any more time looking at all the details and the fine print if i was only interested in the cash flow.	14,15	14,20	substitution
