Begin,End,Label,Type,Speaker
0.03,0.18,but,words,temp
0.18,0.32,when,words,temp
0.32,0.48,i,words,temp
0.48,0.64,had,words,temp
0.64,1.19,approached,words,temp
1.22,1.58,so,words,temp
1.58,1.91,near,words,temp
1.91,2.07,to,words,temp
2.07,2.42,them,words,temp
2.53,2.61,the,words,temp
2.61,3.01,common,words,temp
3.05,3.62,object,words,temp
3.68,3.93,which,words,temp
3.93,4.02,the,words,temp
4.02,4.34,sense,words,temp
4.34,4.97,deceives,words,temp
5.04,5.54,lost,words,temp
5.54,6.0,not,words,temp
6.0,6.14,by,words,temp
6.14,6.67,distance,words,temp
6.79,7.05,any,words,temp
7.05,7.18,of,words,temp
7.18,7.34,its,words,temp
7.34,7.87,marks,words,temp
0.03,0.06,B,phones,temp
0.06,0.09,AH1,phones,temp
0.09,0.18,T,phones,temp
0.18,0.23,W,phones,temp
0.23,0.27,EH1,phones,temp
0.27,0.32,N,phones,temp
0.32,0.48,AY1,phones,temp
0.48,0.49,HH,phones,temp
0.49,0.6,AE1,phones,temp
0.6,0.64,D,phones,temp
0.64,0.7,AH0,phones,temp
0.7,0.83,P,phones,temp
0.83,0.88,R,phones,temp
0.88,0.99,OW1,phones,temp
0.99,1.12,CH,phones,temp
1.12,1.19,T,phones,temp
1.22,1.4,S,phones,temp
1.4,1.58,OW1,phones,temp
1.58,1.7,N,phones,temp
1.7,1.84,IH1,phones,temp
1.84,1.91,R,phones,temp
1.91,2.01,T,phones,temp
2.01,2.07,AH0,phones,temp
2.07,2.13,DH,phones,temp
2.13,2.3,EH1,phones,temp
2.3,2.42,M,phones,temp
2.53,2.55,DH,phones,temp
2.55,2.61,AH0,phones,temp
2.61,2.73,K,phones,temp
2.73,2.85,AA1,phones,temp
2.85,2.9,M,phones,temp
2.9,2.95,AH0,phones,temp
2.95,3.01,N,phones,temp
3.05,3.22,AA1,phones,temp
3.22,3.27,B,phones,temp
3.27,3.34,JH,phones,temp
3.34,3.48,EH0,phones,temp
3.48,3.54,K,phones,temp
3.54,3.62,T,phones,temp
3.68,3.69,HH,phones,temp
3.69,3.76,W,phones,temp
3.76,3.8,IH1,phones,temp
3.8,3.93,CH,phones,temp
3.93,3.95,DH,phones,temp
3.95,4.02,AH0,phones,temp
4.02,4.12,S,phones,temp
4.12,4.21,EH1,phones,temp
4.21,4.27,N,phones,temp
4.27,4.34,S,phones,temp
4.34,4.42,D,phones,temp
4.42,4.45,IH0,phones,temp
4.45,4.59,S,phones,temp
4.59,4.79,IY1,phones,temp
4.79,4.87,V,phones,temp
4.87,4.97,Z,phones,temp
5.04,5.12,L,phones,temp
5.12,5.33,AO1,phones,temp
5.33,5.42,S,phones,temp
5.42,5.54,T,phones,temp
5.54,5.7,N,phones,temp
5.7,5.89,AA1,phones,temp
5.89,6.0,T,phones,temp
6.0,6.05,B,phones,temp
6.05,6.14,AY1,phones,temp
6.14,6.24,D,phones,temp
6.24,6.3,IH1,phones,temp
6.3,6.38,S,phones,temp
6.38,6.45,T,phones,temp
6.45,6.51,AH0,phones,temp
6.51,6.57,N,phones,temp
6.57,6.67,S,phones,temp
6.79,6.89,EH1,phones,temp
6.89,6.95,N,phones,temp
6.95,7.05,IY0,phones,temp
7.05,7.13,AH0,phones,temp
7.13,7.18,V,phones,temp
7.18,7.22,IH0,phones,temp
7.22,7.29,T,phones,temp
7.29,7.34,S,phones,temp
7.34,7.39,M,phones,temp
7.39,7.5,AA1,phones,temp
7.5,7.58,R,phones,temp
7.58,7.7,K,phones,temp
7.7,7.87,S,phones,temp
